Percentage Fill Total,Percentage Fill Cyl Fit,Percentage Change in Stiffness
33.53340448,44.98234626,-21.80572075
35.95669838,40.29834384,15.14496351
35.9375655,39.7222111,27.96437185
32.30559454,37.15471573,47.19803791
55.71829139,50.01873828,47.81730403
5.957054844,11.57191832,15.76280659
3.356930218,4.96154667,-13.76051743
9.709470375,13.65402983,-9.513231371
8.291943945,11.56246383,-10.47714724
8.302071831,11.97198248,-1.395621819
9.376031498,13.12714187,-0.442227869
15.77985074,20.68013337,-5.730884715
27.19911775,35.88049128,-9.449043613
33.54461611,42.24904408,-38.71355409
