Position,STS14E,STS14F,STS14G,STS14H,STS14I
1,3.258872449,6.547403442,1.593440248,3.174492984,5.741926339
2,-1.524272314,0.765350612,-1.755287995,-1.494024892,-3.104845378
3,-4.023426168,-6.430689151,-3.656775474,-4.4781078,-6.9709891565
4,0.375326371,-1.343555895,-0.60894097,-0.247929786,0.572302677
5,5.566434581,13.06931756,0.844112006,4.723558288,9.0517139557
6,-4.072381781,0.928348157,-5.609231581,-4.533644072,-8.124453684
7,-8.602891403,-12.64471901,-8.898496425,-9.871076511,-14.31996976
8,-0.43636979,-3.219704592,-3.422945718,-2.205583379,-1.468260531  
9,-13.1285659,31.68793013,-42.72288715,-29.97619874,-36.6574925
10,-38.87498791,-15.94625776,-49.76862926,-45.43015818,-54.80875995
11,-46.70510589,-50.7018956,-54.68307797,-53.62101453,-59.35906825
12,-32.39048448,-29.10344643,-46.60678598,-41.76773938,-47.08509532
13,-56.94323566,-31.67317315,-75.48587856,-70.6232459,-74.73198044
14,-69.34532444,-49.45788224,-76.78741164,-75.1751376,-80.7641924
15,-73.42949183,-74.14268658,-79.99083459,-79.35915109,-82.08426847
16,-66.66847984,-59.21761178,-75.42847179,-73.4721079,-78.07253892
