Stiffness Change,Position,SD
-6.461521354,0,3
-5.241605698,1,3
-4.90209798,2,3
-6.346953233,3,3
-5.617304913,4,3
-4.174425311,5,3
-3.606273344,6,3
-4.955192409,7,3
-4.015087897,8,3
-4.23065983,0,2
-3.445949114,1,2
-3.148825015,2,2
-4.69562347,3,2
-4.03791415,4,2
-2.873974743,5,2
-2.295052008,6,2
-3.560866518,7,2
-2.897106898,8,2
-2.878406898,0,1
-3.006933875,1,1
-2.554876999,2,1
-3.360357268,3,1
-2.73855268,4,1
-2.560622835,5,1
-1.800786935,6,1
-2.260073064,7,1
-1.863624629,8,1
-0.284112408,0,0
-1.214443697,1,0
-0.447895652,2,0
-0.895872034,3,0
-0.573725127,4,0
-1.119363626,5,0
-0.117109952,6,0
0.233505564,7,0
-0.190684945,8,0
5.527695429,0,-1
2.143980757,1,-1
4.056365064,2,-1
3.963183325,3,-1
4.349156918,4,-1
1.172843136,5,-1
3.131572219,6,-1
4.6589823,7,-1
3.518569763,8,-1
13.62211235,0,-2
8.350793931,1,-2
10.76837582,2,-2
10.47912409,3,-2
11.51116716,4,-2
6.121014303,5,-2
8.448672698,6,-2
10.23776525,7,-2
9.064556199,8,-2
14.28743191,0,-3
21.92763988,1,-3
9.586326804,2,-3
6.014016018,3,-3
13.80730799,4,-3
17.86230213,5,-3
6.38624612,6,-3
5.3416834,7,-3
11.72469396,8,-3
